ch1,ch2,ch3,ch4,Value,Tag
809.487182617188,799.010986328125,815.128234863281,807.069580078125,L,HK
780.476196289063,790.952392578125,809.487182617188,773.626403808594,L,HK
802.234436035156,797.802185058594,806.263732910156,806.666687011719,L,HK
804.652038574219,794.578735351563,801.831481933594,810.695983886719,L,HK
804.249084472656,794.175842285156,811.90478515625,803.846130371094,L,HK
805.457885742188,795.787536621094,817.142883300781,809.084228515625,L,HK
788.131896972656,794.981689453125,803.846130371094,800.219787597656,L,HK
803.040283203125,792.564086914063,804.249084472656,809.084228515625,L,HK
794.578735351563,787.325988769531,799.413940429688,805.054931640625,L,HK
813.516479492188,791.758239746094,808.278381347656,807.472534179687,L,HK
805.054931640625,798.205139160156,812.710632324219,809.89013671875,L,HK
820.366271972656,802.234436035156,809.084228515625,820.769226074219,L,HK
817.142883300781,817.94873046875,788.937744140625,813.91943359375,L,HK
806.263732910156,804.652038574219,809.084228515625,806.263732910156,L,HK
798.205139160156,794.578735351563,809.89013671875,802.637390136719,L,HK
780.0732421875,788.131896972656,823.186828613281,792.161193847656,L,HK
779.670349121094,796.996337890625,808.278381347656,793.369934082031,L,HK
809.084228515625,794.175842285156,801.428588867188,796.593383789063,L,HK
809.084228515625,802.637390136719,809.487182617188,797.399291992187,L,HK
799.816833496094,797.399291992187,798.608032226563,795.384643554688,L,HK
819.96337890625,800.622680664062,799.816833496094,817.142883300781,L,HK
806.666687011719,799.010986328125,802.234436035156,807.87548828125,L,HK
817.545776367188,794.578735351563,805.457885742188,803.846130371094,L,HK
804.249084472656,807.069580078125,806.666687011719,796.593383789063,L,HK
793.772888183594,793.369934082031,803.846130371094,805.457885742188,L,HK
811.098876953125,797.802185058594,804.249084472656,809.487182617188,L,HK
797.399291992187,797.802185058594,804.249084472656,795.787536621094,L,HK
804.249084472656,790.549438476563,791.355285644531,802.234436035156,L,HK
800.622680664062,786.923095703125,800.219787597656,808.278381347656,L,HK
803.040283203125,796.190490722656,800.219787597656,809.487182617188,L,HK
803.846130371094,791.355285644531,803.846130371094,813.91943359375,L,HK
815.93408203125,799.413940429688,801.831481933594,799.816833496094,L,HK
803.443237304688,794.981689453125,804.652038574219,805.860778808594,L,HK
800.622680664062,787.325988769531,800.219787597656,810.293029785156,L,HK
807.069580078125,791.355285644531,802.637390136719,804.652038574219,L,HK
805.457885742188,805.860778808594,814.725280761719,810.695983886719,L,HK
784.505493164063,796.996337890625,810.695983886719,788.534790039062,L,HK
820.366271972656,811.098876953125,802.637390136719,814.322326660156,L,HK
802.637390136719,799.816833496094,806.263732910156,811.90478515625,L,HK
796.593383789063,801.831481933594,809.084228515625,794.981689453125,L,HK
801.025634765625,795.787536621094,801.428588867188,796.190490722656,L,HK
804.249084472656,792.161193847656,811.098876953125,809.084228515625,L,HK
800.219787597656,793.369934082031,812.307678222656,805.054931640625,L,HK
795.384643554688,795.384643554688,809.084228515625,790.952392578125,L,HK
803.040283203125,796.190490722656,804.652038574219,801.025634765625,L,HK
